avg_rss12_min_1,avg_rss12_max_1,avg_rss12_mean_1,avg_rss12_median_1,avg_rss12_Q1_1,avg_rss12_Q3_1,avg_rss12_std_1,avg_rss12_min_2,avg_rss12_max_2,avg_rss12_mean_2,avg_rss12_median_2,avg_rss12_Q1_2,avg_rss12_Q3_2,avg_rss12_std_2,avg_rss12_min_3,avg_rss12_max_1,avg_rss12_mean_3,avg_rss12_median_3,avg_rss12_Q1_3,avg_rss12_Q3_3,avg_rss12_std_3,avg_rss12_min_4,avg_rss12_max_4,avg_rss12_mean_4,avg_rss12_median_4,avg_rss12_Q1_4,avg_rss12_Q3_4,avg_rss12_std_4,avg_rss12_min_5,avg_rss12_max_5,avg_rss12_mean_5,avg_rss12_median_5,avg_rss12_Q1_5,avg_rss12_Q3_5,avg_rss12_std_5,avg_rss12_min_6,avg_rss12_max_6,avg_rss12_mean_6,avg_rss12_median_6,avg_rss12_Q1_6,avg_rss12_Q3_6,avg_rss12_std_6
18.5,44.25,35.75235417,36,33,39.33,4.6099921,0,12.6,3.328104167,2.83,1.775,4.33,2.138345142,5,27,16.05502083,16,13.73,18.33,3.442554224,0,9.46,2.871125,2.65,1.5,3.78,1.70304286,4,24.33,16.00127083,16.25,14,18.0625,3.116804896,0,9.39,3.069666667,2.77,1.7975,4.06,1.746503499
24.25,45,37.17704167,36.25,34.5,40.25,3.577568599,0,8.58,2.374208333,1.92,1.3,3.13,1.600129877,5.5,26.75,16.53108333,16.67,14.25,19,3.427330727,0,8.05,2.910604167,2.62,1.64,3.9175,1.598469401,7,25.5,19.60725,20,17.95,21.75,2.887334905,0,9.34,2.921729167,2.5,1.5,3.9,1.850669172
23.33,43.5,36.24408333,36.75,33.4575,39.25,3.818032433,0,9.71,2.736020833,2.17,1.22,3.74,2.089821314,7,28.5,18.43570833,18.33,15.67,21,4.017437606,0,9.78,3.129791667,2.895,1.775,4.24,1.80861237,7.67,27,18.49714583,18.5,15.75,21,3.613931317,0,11.15,3.5305,3.11,2.17,4.6175,1.961638813
26.25,44.25,36.95745833,36.29,34.5,40.25,3.431282832,0,8.64,2.420083333,2.05,1.25,3.35,1.723103666,7,26.5,15.31341667,15.25,13.25,17.33,3.030867999,0,8.06,2.784145833,2.565,1.58,3.77,1.541363472,2,22.25,15.98916667,16.33,14,18.25,2.848701117,0,8.34,2.934625,2.525,1.66,4.03,1.629679885
27.75,44.67,37.14483333,36.33,34,40.5,3.754986348,0,10.76,2.4190625,1.88,1.25,3.3675,1.64146205,0,24.75,14.99847917,15,13,17.25,3.286108764,0,9,2.849625,2.5,1.58,3.9,1.713397291,0,23,16.77352083,17,15,18.75,2.686487774,0,8.75,2.8224375,2.59,1.58,3.74,1.635476388
39,40,39.43379167,39.5,39.33,39.5,0.2083401624,0,1,0.4221041667,0.47,0.43,0.5,0.1602119351,0,12.2,5.841145833,6,3,8.75,3.494212796,0,3.27,0.3990208333,0.43,0,0.5,0.4382095194,0,18,10.89745833,11.5,9,12.33,3.31815985,0,4.06,0.5827083333,0.5,0.43,0.83,0.4379846819
0,40.67,39.5061875,39.5,39.5,39.67,1.815604194,0,1,0.4964791667,0.5,0.47,0.5,0.1453942184,0,13.25,6.550083333,7,4.5,8.75,2.604364285,0,4.03,0.8238541667,0.5,0.43,1.12,0.759401587,0,16.25,11.765625,12,11.33,13,2.334244976,0,3.19,0.6229166667,0.5,0.43,0.87,0.4983688323
34,51,42.7060625,40.5,40.25,48,3.533789414,0,4.85,0.5198125,0.5,0,0.83,0.4835814373,0,23,10.90995833,12,9,12,3.205066757,0,5.72,0.3320625,0,0,0.47,0.5990698661,0,22.25,4.303979167,2.25,1,8,4.249374096,0,4.97,0.5493125,0.47,0,0.83,0.6477269119
39,41,39.66783333,39.5,39.5,39.75,0.2798658409,0,1,0.5836041667,0.5,0.5,0.71,0.194381845,0,15,10.83420833,12,10.25,12,2.466933867,0,2.49,0.3474375,0.43,0,0.5,0.4087183936,0,14.5,5.779479167,5.75,1.6275,9.33,4.093081146,0,3.49,0.6359375,0.5,0,0.83,0.6077653366
23.5,30,27.716375,27.5,27,29,1.440750305,0,1.79,0.3636875,0.43,0,0.5,0.3944056,0,13.25,6.0785625,6.25,3.5,8.33,3.4653788,0,5.02,0.8710208333,0.82,0.43,1.2625,0.776589767,0,21,8.3374375,8.75,5.5,10.75,4.07026472,0,4.5,0.7342708333,0.71,0.43,1,0.61304864
24.75,48.33,44.1829375,48,48,48,7.48780316,0,3.11,0.101875,0,0,0,0.3463942615,1,16.5,6.679958333,6.25,5.67,7.5,1.934473442,0,5.91,0.5841041667,0.43,0,0.71,0.749163721,0,12.75,4.376291667,3.33,2,5.5425,3.271126462,0,3.91,0.6927708333,0.5,0.3225,0.94,0.6750762531
48,48.25,48.00416667,48,48,48,0.03200477395,0,0.43,0.007166666667,0,0,0,0.05504821119,0,13,4.9005625,5.5,3,6.25,2.563754225,0,2.86,0.3973125,0.43,0,0.5,0.4466608359,0,12,7.624895833,9,4.67,10,3.265095837,0,2.5,0.6412291667,0.5,0.46,0.83,0.3879673923
23.5,30,27.716375,27.5,27,29,1.440750305,0,1.79,0.3636875,0.43,0,0.5,0.3944056,0,13.25,6.078104167,6.25,3.5,8.33,3.465039975,0,5.02,0.8700416667,0.82,0.43,1.2625,0.7766093494,0,21,8.337020833,8.75,5.5,10.75,4.07020711,0,4.5,0.7353958333,0.71,0.43,1,0.6121950343
48,48.25,48.00416667,48,48,48,0.03200477395,0,0.43,0.007166666667,0,0,0,0.05504821119,0,13,4.9005625,5.5,3,6.25,2.563754225,0,2.86,0.3973125,0.43,0,0.5,0.4466608359,0,12,7.624895833,9,4.67,10,3.265095837,0,2.5,0.6412291667,0.5,0.46,0.83,0.3879673923
39,40,39.43379167,39.5,39.33,39.5,0.2083401624,0,1,0.4221041667,0.47,0.43,0.5,0.1602119351,0,12.2,5.841145833,6,3,8.75,3.494212796,0,3.27,0.3990208333,0.43,0,0.5,0.4382095194,0,18,10.89745833,11.5,9,12.33,3.31815985,0,4.06,0.5827083333,0.5,0.43,0.83,0.4379846819
39,41,39.66783333,39.5,39.5,39.75,0.2798658409,0,1,0.5836041667,0.5,0.5,0.71,0.194381845,0,15,10.83420833,12,10.25,12,2.466933867,0,2.49,0.3474375,0.43,0,0.5,0.4087183936,0,14.5,5.779479167,5.75,1.6275,9.33,4.093081146,0,3.49,0.6359375,0.5,0,0.83,0.6077653366
23.5,30,27.716375,27.5,27,29,1.440750305,0,1.79,0.3636875,0.43,0,0.5,0.3944056,0,13.25,6.0785625,6.25,3.5,8.33,3.4653788,0,5.02,0.8710208333,0.82,0.43,1.2625,0.776589767,0,21,8.3374375,8.75,5.5,10.75,4.07026472,0,4.5,0.7342708333,0.71,0.43,1,0.61304864
39,56.25,47.325125,42.67,42,54,5.955067379,0,8.49,0.2743125,0,0,0.47,0.5621424292,0,18.25,9.5319375,10.75,6,12.75,3.982942196,0,5.72,0.7857291667,0.5,0.43,1,0.8107901814,0,21,14.299125,14,11.75,18,4.137815454,0,5.72,0.7661666667,0.5,0.43,1,0.7231985473
39,40,39.34710417,39.33,39.25,39.5,0.2311640597,0,0.5,0.3663958333,0.47,0.43,0.5,0.1956105015,0,11.33,4.382208333,4.5,2.5,6,2.454238451,0,3.54,0.5029166667,0.47,0,0.71,0.5041463839,7,18.67,16.2123125,16.75,15.75,17.67,2.221038014,0,3.5,0.5884583333,0.5,0.43,0.83,0.4229934475
39,56.25,47.325125,42.67,42,54,5.955067379,0,8.49,0.2743125,0,0,0.47,0.5621424292,0,18.25,9.5319375,10.75,6,12.75,3.982942196,0,5.72,0.7857291667,0.5,0.43,1,0.8107901814,0,21,14.299125,14,11.75,18,4.137815454,0,5.72,0.7661666667,0.5,0.43,1,0.7231985473
27.5,50.75,38.888375,36.75,36.25,42,3.639104552,0,6.06,0.3834375,0.43,0,0.5,0.4884278097,1.5,23.25,14.85416667,15,12,18,3.922829619,0,6.02,0.6542708333,0.47,0,0.87,0.7075588091,0,23.75,16.52202083,17.75,14,20.75,4.973341336,0,5.17,0.8402083333,0.82,0.43,1.09,0.7498538457
27,38.67,32.90597917,30.25,30,37,3.502121958,0,2.49,0.45675,0,0,1,0.5382218602,2.5,23.75,16.30591667,18.5,12,21,5.159499854,0,5.12,0.6647916667,0.47,0,0.87,0.7673131955,2,23.5,18.08722917,19.25,16.5,20.75,3.732412707,0,5.12,0.7913541667,0.71,0.43,1,0.7549511847
42.5,46,44.75395833,45,44.75,45,0.5197665325,0,1.12,0.1539166667,0,0,0.43,0.2585457594,3.67,27.25,18.57960417,19.25,17,21,4.123787808,0,5.17,0.6253125,0.47,0.43,0.83,0.6749536298,4.33,30.75,19.26508333,19,17.5,21.69,4.123212794,0,4.3,0.7640833333,0.7,0.43,1,0.6514112831
25.5,45.75,36.5600625,36.5,30,42.5,5.908916655,0,12.19,0.4221666667,0,0,0.82,0.772186488,1,24,14.89483333,15.33,11,20.27,5.454074583,0,5.12,0.7405208333,0.495,0,0.94,0.8319877926,5.5,27,17.14972917,18,15.5,19,2.860615124,0,6.26,0.8548333333,0.83,0.43,1.145,0.7168548009
33.25,48,42.3635625,43,42,43.5,2.066091423,0,4.44,0.4925625,0.5,0.43,0.5,0.4031602972,3,22.5,17.11929167,18,15,19.33,3.137736896,0,5.36,0.6418541667,0.45,0,0.87,0.7601650722,1,28,13.38177083,13.125,10.1875,17.69,4.951655278,0,6.02,1.034020833,0.83,0.47,1.25,0.984600109
37,50.75,45.91766667,45.635,45,46.5,1.087891679,0,4.87,0.3245416667,0.43,0,0.5,0.3654383759,0,24,16.87154167,18.75,15,21,5.354272994,0,8.5,0.696375,0.47,0,0.87,0.8563372735,2,24,18.44279167,19.33,16.5,21,3.581773961,0,7.22,0.9046041667,0.71,0.43,1.12,0.8952373112
44.5,46.75,45.23966667,45,45,45.33,0.4294670793,0,1,0.1729583333,0,0,0.43,0.2509141585,2,23.75,12.8133125,13,10,15.25,4.187544137,0,6.36,1.1086875,0.83,0.43,1.48,1.014212824,4.75,26.75,19.33066667,20,17.6275,21,2.942769878,0,8.2,0.83725,0.71,0.43,1.12,0.8344738487
35.25,48.5,40.21927083,39.25,37.75,42.5,2.738360308,0,3.28,0.6174791667,0.5,0.43,1,0.4849107517,0,23.5,14.85122917,16,11.9375,18.25,4.924086458,0,5.12,0.8722291667,0.495,0,1.22,0.9878340308,0,27.33,15.16727083,15.25,11.67,19.75,5.30821461,0,6.36,1.057729167,0.83,0.47,1.3,1.024856113
28.5,48.25,43.88483333,45.25,42,46.5,3.195559936,0,3.28,0.5173541667,0.5,0.43,0.71,0.3936536649,0,24.25,14.997375,15,11.1875,18.75,5.615921654,0,6.98,1.0476875,0.82,0.43,1.48,1.095884853,1.5,25,14.92054167,15.875,10.5,19.25,5.253117935,0,7,1.354916667,1.09,0.5,1.7,1.149683649
39.67,44.75,42.28266667,41.5,41.5,44.33,1.354735511,0,1,0.4983541667,0.5,0.47,0.5,0.1478301375,0,22.75,9.469541667,10,5,14,5.308241568,0,5.68,0.8996458333,0.82,0.43,1.25,0.8353225921,0,23.25,12.5371875,12,8.5,18.25,6.033502145,0,7.85,0.869,0.82,0.47,1,0.7933847847
39.5,45,42.11158333,42,41.5,42,1.121075002,0,1.09,0.3419375,0.47,0,0.5,0.2954963978,0,21.8,11.44225,12,9,14.75,4.534933886,0,7.31,0.8893958333,0.5,0.43,0.955,1.071050424,1,23,12.97391667,13.29,9,17.25,4.842493124,0,6.36,0.9611666667,0.82,0.47,1.22,0.8818644391
29.25,46,42.72885417,43.25,41.33,44.5,2.044229006,0,4.72,0.5553333333,0.5,0.47,0.5,0.382145115,0,24,15.82364583,16.5,12.4575,20,4.874657236,0,6.12,0.7582708333,0.47,0,1,0.906768834,2,24,16.4089375,17.67,13.73,19,4.289494084,0,5.1,0.8920833333,0.71,0.43,1.22,0.8502878393
40,44.67,42.3601875,42,41.5,43.25,1.016311225,0,1,0.4825,0.5,0.43,0.5,0.2461317398,2,23.5,12.88454167,12.75,11.4575,15,4.008701603,0,5.93,0.6200625,0.47,0,0.83,0.7471675656,2.5,26.67,15.2604375,13.25,9.75,22,6.460045796,0,4.64,0.7198125,0.5,0.43,0.83,0.6079122112
42,45,42.8219833,42.5,42,43.5,0.8908866076,0,1.12,0.3356784969,0.43,0,0.5,0.2600849166,0,23,17.19970772,18,16,20,3.893934837,0,5.45,0.5311899791,0.43,0,0.71,0.7631284114,1,23,16.02565762,17,13.25,19,4.107990678,0,6.36,0.8560125261,0.82,0.43,1.09,0.7640017761
41.75,46.5,43.19085417,42.5,42,44.5,1.229062778,0,1.5,0.2662708333,0.43,0,0.5,0.2713048132,0,21.67,14.8583125,15,12.25,18.425,4.722908826,0,4.64,0.5102083333,0.47,0,0.72,0.5421315553,5.67,22,16.04316667,16,14,18.33,3.024014022,0,5.45,0.8062291667,0.82,0.43,1.09,0.6448033854
35.5,48,46.2249375,46,45.25,48,1.746492913,0,4.5,0.3123541667,0,0,0.5,0.4640569285,0,21,15.0316875,15.585,11.75,18.5,4.308942381,0,5.12,0.5985,0.47,0,0.83,0.678524932,2.5,21,13.39402083,13.5,12,15.25,2.928525205,0,6,0.8825833333,0.83,0.47,1.12,0.6677268601
34.5,47.75,44.47114583,45,45,45.25,1.770705997,0,2.18,0.2904791667,0,0,0.5,0.3925047499,5,21.33,17.94854167,18.5,18,19.33,2.511176343,0,5.54,0.56625,0.43,0,0.71,0.7002506248,1,19.67,13.21008333,13,12,14.8125,2.609667123,0,4.32,0.927375,0.83,0.47,1.22,0.7556474769
30,46.67,42.64852083,42.75,41.5,45,2.392841603,0,2.95,0.4028333333,0.43,0,0.5,0.4132874975,3,21.25,18.12929167,18.5,18,19.75,2.847451258,0,7.5,0.4679791667,0.43,0,0.5,0.6864967525,1,20.75,12.06041667,12.29,10.6275,14.25,3.138405154,0,4.64,0.9173541667,0.83,0.47,1.12,0.7088981177
36,47.5,43.72002083,45,43,45,2.381619853,0,1.92,0.3667083333,0.43,0,0.5,0.3737267249,6.67,21,17.01027083,17.75,15.5,18.75,2.709391869,0,6.02,0.5443333333,0.43,0,0.71,0.7429650433,1,20.25,13.19827083,13.75,11.31,15.5425,3.28571037,0,6.18,1.0396875,0.83,0.47,1.22,0.915701977
33.33,48,44.33472917,45,42.25,46.5,2.474358067,0,3.9,0.4329583333,0.47,0,0.5,0.3702043331,0,18.75,11.64614583,12.25,9.75,14.5,3.694664218,0,5.79,0.8430625,0.5,0.43,1.22,0.8878799634,0,23,13.44370833,14.75,9.33,17.75,5.396164649,0,5.02,0.933,0.83,0.47,1.25,0.6729067543
35.5,46.25,43.1749375,43.67,42.5,44.5,1.986979071,0,2.12,0.5065833333,0.5,0.43,0.5,0.3070925372,1,20.67,12.77133333,13,11.25,15,3.286060314,0,6.56,0.6866875,0.485,0,0.87,0.764539667,2,21.25,14.2855,14.67,12.75,16.5,2.980865814,0,5.72,0.9119791667,0.83,0.47,1.22,0.6654669723
32.75,47,42.7605625,44.5,41.33,45.3725,3.395376436,0,3.34,0.4861666667,0.47,0,0.5,0.4460454636,1.5,21,15.03683333,15.25,14,17,3.118537981,0,5.85,0.588875,0.43,0,0.71,0.7002686873,1.33,21.33,15.5508125,16.585,13,18.565,4.292096366,0,5.73,0.8422708333,0.71,0.43,1.09,0.7214127124
36,45.8,42.41991667,42.67,41.33,44.6175,2.51750273,0,2.12,0.4605625,0.47,0,0.505,0.3870011524,6.33,24,16.32054167,16.75,15,18,2.464185827,0,5.59,0.7498958333,0.5,0.43,1.0375,0.6669356147,2,22,10.06775,9.75,7.6275,12,3.718194894,0,6.65,1.226270833,1.09,0.5,1.585,0.8910581547
37,48.25,42.51695833,42.5,41,44.5,2.193462141,0,2.12,0.4406875,0.47,0,0.5,0.3490662339,1,21.75,13.21872917,13.5,9.73,17.5,4.730413549,0,5.61,0.7999375,0.5,0.43,1.02,0.8668639577,1,21,14.63975,15,12.6275,17.5,3.619780084,0,6.85,0.9774166667,0.83,0.47,1.22,0.8523902626
36,47.33,42.67458333,43.67,40,44.75,2.381684766,0,2.17,0.4191666667,0.47,0,0.5,0.3679992829,0,21,12.11070833,12.67,11.6275,14.33,3.553013029,0,5.56,0.5675,0.43,0,0.82,0.717615554,0,19.67,14.24745833,14.5,12.75,16.5,3.258217655,0,3.77,0.7020416667,0.5,0.43,0.94,0.566859402
36.25,45.5,42.95935417,42.67,42,44.33,1.49931394,0,2.6,0.352875,0.47,0,0.5,0.3132585211,0,22,11.7804375,12,11,13.33,3.018597083,0,4.72,0.5641875,0.47,0,0.83,0.637514188,0,20.25,14.94602083,15.25,14,16.69,2.699787993,0,4,0.7484791667,0.82,0.43,0.95,0.4606711358
36,47.33,44.4411875,45,44.6275,45.75,2.41527665,0,4.5,0.3466041667,0.43,0,0.5,0.3577399102,3,21,13.35627083,13.5,12,15.5,2.951941037,0,5.54,0.6455833333,0.47,0,0.83,0.7174541749,1,21,12.61154167,12.75,11,14.67,3.410895795,0,5.91,1.155083333,0.94,0.5,1.5,0.8412096903
36.25,45.75,43.18752083,44.75,39.75,45,2.488565412,0,2.83,0.2712708333,0,0,0.5,0.3284646252,0,22.75,12.72810417,12.71,10.67,15.0625,3.85586371,0,3.74,0.6427083333,0.47,0,0.87,0.6765674381,2,24,18.2014375,18.25,16.5,21,3.562321723,0,3.83,0.6454583333,0.5,0.43,0.83,0.5668276104
29.75,48,46.93220833,47.5,47.2375,47.75,1.830755228,0,4.6,0.4296666667,0.5,0.43,0.5,0.3668842536,6.5,21,16.84785417,18,16.33,18.25,2.614785479,0,6.52,0.5354375,0.43,0,0.71,0.7125796858,2.67,21.25,13.281875,13.67,11.67,15.5,3.131554564,0,6.58,0.991125,0.83,0.47,1.22,0.8544376714
36.33,47.67,45.399625,45.5,45,46.33,1.326736859,0,1.66,0.4601458333,0.5,0.43,0.5,0.2696073139,1.5,21.25,17.67139583,18,17.4575,18.33,1.743981654,0,4.11,0.4413125,0.43,0,0.5,0.4776676694,1,19.75,12.42854167,13.125,11.25,14.5,3.370578641,0,4.5,0.7951041667,0.82,0.47,1,0.502482576
18.33,47.67,34.33304167,34.75,31.25,38,4.9436122,0,12.48,4.396958333,3.9,2.49,5.745,2.566002874,7.67,23.33,15.56289583,15.5,13.67,17.5,2.964647911,0,9.01,3.1983125,2.93,2.05,4.245,1.674523522,6.67,24,15.8644375,16,13.75,18,2.997365527,0,8.01,3.261583333,2.98,2.05,4.32,1.615604116
